id,name,price_numeric,review_scores_location
1407434945159519189,Fuego Flame Shared Room | Cozy Vibes + Wi-Fi,17.0,5.0
1411601831397814339,Cactus Sunset Stay | Snug Shared Room + Wi-Fi,20.0,5.0
1080465942036472771,Marriott's BeachPlace Towers - 2BR Waterview Villa,22.0,5.0
1082128443548644880,Marriott's BeachPlace Towers - 2BR Waterview Villa,22.0,5.0
1085532924382363878,Marriott's BeachPlace Towers - Waterview Studio,22.0,5.0
1313333889280898230,Cozy Shared Room near Beach,23.0,4.78
1485724200696175067,G4 master bath TV,27.0,5.0
1329016742028017066,MIXED DORM Cozy budget-friendly hostel stay,28.0,4.53
1496766840327893302,A Single Bed in Shared Male Dorm,29.0,4.71
970927431737808360,Cozy room in cute beach cottage!,29.0,4.62
1366081966983441625,Comfortable Hostel in Hollywood!,29.0,4.5
1315984655683950196,DB2) Cozy shared room/airport,30.0,5.0
1315990360758402717,DF1)Shared room/girls only/port nearby,30.0,5.0
987555666919368775,Affordable Private Room,30.0,5.0
1411678793110656120,Desert Calm by Cactus | Comfortable + Wi-Fi,30.0,5.0
16174775,Modern room in convenient location!,30.0,4.94
53583846,"Small basic but cozy room, free parking.",30.0,4.73
24605244,Cosas Geniales  y Bonitas,30.0,4.65
1370566256624346758,Have Other Rooms Avai Chat Me Long Term 6 month 1d,31.0,5.0
1303199581578620356,Share BedR Closet Share Full Kichen&BathR Laundry,31.0,5.0
566406196231240740,"Queen size bedroom, water view",31.0,4.58
1329197351320214112,8 MIXED DORM Cozy budget-friendly hostel stay,31.0,4.58
1381891000766345370,Db3) Shared a  room near the beach,32.0,5.0
1316079897908158146,Ac2) Shared  a room.,32.0,5.0
1473308674778948121,"Private, smoke-free room, fast net, free parking",32.0,5.0
23716851,Comfortable Private Room with Private Bath,32.0,4.85
34138878,Pleasant Room/shared pool house,32.0,4.8
1421872392744959036,10min Fll beach & airport hostal clean top bed,32.0,4.73
567448404189879639,Quiet & Clean 3- cable/wifi/pool & more $900/mo,32.0,4.64
1282565764024993262,DF2)Wait for your flight with us( shared room),32.0,4.57
961195047942238998,Ace’s Home  6 miles from Las Olas Beach,32.0,4.5
1457325224068495657,AC)Shared room,33.0,5.0
1389879262300422436,Hostel Hallandale Beach,33.0,5.0
1402964334804122546,Peaceful Light-Filled Bedroom,33.0,4.83
791208252027451824,Cute room for rent!,33.0,4.63
1329006564888516704,8 BEDS MIXED DORM(Hostel):book 6 nights get 1 FREE,33.0,4.62
1458019645704377652,Habitación privada con entrada independiente,34.0,5.0
1406123268712613729,Small Cozy Room,34.0,5.0
28815003,Cozy Room in our home,34.0,5.0
1399458079789594758,Elefante Hideout | Snug Soft Stay & Wi-Fi,34.0,5.0
32094240,Cozy room at Fort Lauderdale.,34.0,4.93
31175877,PRIVATE ROOM,34.0,4.82
48489184,Quiet & Clean 2- cable/wifi/pool & more $950/mo,34.0,4.78
32670884,Vacation spot 2 Available,34.0,4.51
1423316102183292947,10min Fll beach & airport comfy & clean bottom bed,35.0,5.0
970927694701818009,Private room in a charming beach cottage,35.0,5.0
1316074306238674224,A2/2) Shared room.,35.0,5.0
1369857271209523420,Dd1/Shared room/airport,35.0,5.0
1199478859139401810,Your Room 5~Picasso‼️,35.0,5.0
1347483582456856058,"Blue private room, free parking",35.0,5.0
1090650120837258291,Room B in a MaZe‼️,35.0,5.0
21090493,my gordon room..,35.0,4.72
1336623280443600516,10min FLL Beach & airport Clean & Comfy Bottom bed,35.0,4.61
1396523656099076431,"Moonlight Luna Nest | Homely, Cool & Wi-Fi",35.0,4.6
583176163701076933,D2.2)Shared a room(2beds).Airport/beach nearby,35.0,4.56
1316061971259663806,A3/2 Shared a room/products nearby,35.0,4.5
1423230719484342729,10min Fll beach & airport comfy & clean bottom bed,35.0,4.5
1492898622310080064,Luxury-style room in Sunrise,36.0,5.0
31299111,"Cozy and clean, private bedroom",36.0,4.94
39677203,Private room2,36.0,4.79
1383998975266440279,Comfortable and excellent location room in Florida,36.0,4.73
1503158792481589269,Private Bedroom & Shared Bath - Airport 10 mins.,36.0,4.67
1047224437475470202,HUGE POOl‼️ Room 2 on the river!,36.0,4.64
608089695239644780,Preferiblemente mujer ! Un lugar tranquilo  .,36.0,4.62
47831605,Quiet & Clean 1- bath/cable/wifi/pool,37.0,5.0
2195826,Room available in W. Pembroke Pines,37.0,4.97
1435129826914478283,*New Chic Studio w/Private Entry | Mins to Beach,37.0,4.83
1111265965918208722,Private room in sunrise,37.0,4.67
1412393406416130613,Single Bed in Shared Female Dorm,38.0,5.0
17012911,Room in Fort Lauderdale,38.0,5.0
