id,name,num_reviews
772480133052161093,At Mine | Beach Suite in Fort Lauderdale,1939
775420168099754401,At Mine | Double Suite in Fort Lauderdale,1918
17008487,King Room - Oceanfront Property,1406
47354493,2 BEDROOM SUITE ✦ Wyndham Palm Aire Resort ✦,1033
29566676,#1 FLL Airport/Port Everglades 10-15 mins,989
40804483,Cutest Micro-Studio Kitchenette | Pool | parking,968
20455583,Private suite in new eco friendly house,911
27230672,▪️Relaxing & Spacious Studio with Private Yard▪️,845
12601797,Direct Ocean View from the Balcony,815
4909030,Sunny Room,803
31600463,The Oasis Beach Suite at Fort Lauderdale Airport,789
9774228,"Private studio w/ hottub. pool, near beach, wow",777
3553435,Private Master with  Private Bath (w/Pool Access),764
4484576,BlueRoom in the ❤️ of Wilton Manors - Heated pool,749
8964480,Studio- Between Hard Rock Stadium & Casino,748
24962731,Private entrance bedroom & bath in Fort Lauderdale,748
22614350,Cozy Studio | Private Bath & Entrance | Near Beach,739
23482604,Cozy bedroom in wonderful location - Butterfly,726
4492175,RedRoom in the ❤️ of Wilton Manors - Heated pool,717
2262485,Peaceful Studio  with Full Kitchen,717
49874722,Studio Queen Room at Winterset Hotel,682
20633828,Relaxing private room in eco friendly house.,666
30400348,"Peacock Villa-Close to Cruise Port, Airport",653
775424883972119220,At Mine | Seabreeze Suite Steps from the Ocean,653
40820211,Sonder The Circ | King Room w/ Balcony,630
1158741281298046668,At Mine | Las Olas Beach Suites,628
5445232,A Clean &Quiet Piece of Paradise -2 Bedroom,626
25291864,Sunset Resort House Rooms/Private Entrance,625
31446494,🟢 Cozy & Comfortable Studio 🟢,622
5607730,Spacious Private Room w/Library in Waterfront Home,598
4948999,Historic house  built in 1924,592
43754122,Cozy & Private Room w/ Own Entrance Near FLL!,590
17142701,Private room with bathroom and balcony.,584
17707954,Beach Chic #3,576
11249299,Clean &Quiet Piece of Paradise 2 Bedroom,576
16661372,Paradise Suite,567
7560967,Charming Private Room w/Canal Views in S. Florida,567
1162250983830764048,At Mine | Beach Pool Suite,564
964438193344149479,Queen Room on Hollywood Beach,562
1865860,Comfy Studio *Quiet *Fast Wi-Fi *Stand Up Desk,560
27755517,Sunset Resort House Rooms/RB&Gray,532
41182815,"Save$ - Studio 1m-Airport, 2m-Casino, 4m-Cruise",523
11707855,Historic Renovated Cottage w/ Private Heated Pool!,518
15483755,Unit 5- FLL Retreat w/Shared Pool,513
21244551,Zen Studio,497
877575421014934878,At Mine | Suite step from the Ocean with Kitchen,494
21753248,Fabulously Renovated Beachside Ocean Cabana,488
5628197,#3: Work from Home!  Two desks & office chairs,481
15311479,Marriott's BeachPlace Towers Luxury Guest Room,480
14976932,#4: Washer & dryer in apartment,470
16961884,Double King Studio - Oceanfront Property! (2K),457
16480106,Waterfront Gem on Las Olas Isle – Near Beach,456
28758695,Ft. Lauderdale Hideaway - 2Bed/2Bath Townhome,454
21298102,Step from the beach,452
20216083,Contemporary Studio with Resort Style pool.,450
6342964,"Sunny, private patio & gas grill",444
26964913,The Guesthouse #5,443
40137977,"💎 ULTIMATE LUXURY 💎 Soak-In Tub, Round King Bed",443
582388523345921155,Classic & Serene 1BR Apt close to Deerfield Beach,441
26839537,FLL Hideaway Unit D,441
18899682,"Villa with Heated Pool, Laundry, Ping Pong & More",440
16797650,Spacious Private Room with Canal Views near Miami,438
26839136,FLL Hideaway Unit A,434
12095502,"Villa with Heated Pool, Laundry, Ping Pong & More",429
26233802,Live Like A Local One Block to Sand — Beach Gear Included,426
16575856,Cozy home near the beach,424
49586576,Guest Room/SuiteHotspot for Travelers,422
15998358,#3: Washer & dryer in apartment,420
11399021,Modern Studio *Quiet *Washer&Dryer *Fast Wi-Fi,417
4707242,Cottage Room,416
19812699,"Villa with Heated Pool, Laundry, Ping Pong & More",416
16480146,Waterfront Condo Near Las Olas and Beach,416
6812827,Private Room and Bathroom in Heart of S. Florida,416
48851876,"Oasis Suite in Lake Ridge, Fort Lauderdale Beach",414
24498609,Cosy Studio Getaway!!,413
10905442,"Zen Desk room, outdoor lounge, pool, & parking",413
14870754,Studio on The Beach,411
24498576,Beachy Studio!!,406
49929766,King Bed Beachy Chic Rain Shower Studio,405
34773375,Hot Spa Couples Retreat Cozy,403
9946167,"Villa with Heated Pool, Laundry, Ping Pong & More",400
23711305,Peaceful Poolside Studio - Pineapple Suite,397
992966115453355744,Direct Beach Access | Mermaid Bar Show + Pools,396
6108545,Tropical Paradise I,392
38137162,FLL Escape #1,389
12223507,Unit 3- FLL Retreat w/Shared Pool,388
32746795,Waterfront Escape – Minutes to Las Olas & Beach,387
32104564,Step from the beach # 1,386
18441115,The Cozy Cottage,385
5268379,Clothes optional Tranquil Private room Paradise.,385
30933754,Step from the beach # 10,385
23857211,Peaceful Poolside Studio - Dragonfly Suite,383
35879838,Private Studio near Hard Rock Stadium,382
5251709,Charming Private Villa - 1bedrm/1bath & kitchen,381
11450239,"Zen Pool view, outdoor lounge, garden, and parking",380
39050511,The Palms Villas - 'Dream Suite 2' - 2 BR!,380
46712276,Convenient Lauderdale Getaway,377
1158721154412469746,At Mine | Pool Double Suite in Fort Lauderdale,376
17907550,"LOCATION, LOCATION, AND LUXURY! 3 bedroom 3.5 bath",372
18422906,"Near Beach, Private Entrance, 1 mile from Downtown",371
41889212,"Poolside Paradise, Pool Table and Mins from FTL!",369
24120410,Beautiful getaway Studio @ Beach front Resort,367
36832456,Private Guest Suite with Bath and Own Entrance,366
30932499,Minute from the beach # 12,366
20433606,"WatersEdge, TropicalHideaway, FLL, MIA, Port, Pool",365
52495707,Spacious Studio with king Bed and private entrance,365
22017675,Cozy private studio 2 blocks from Pompano Beach,364
13908166,Unit 7- FLL Retreat w/Shared Pool,360
14623745,Natural Park Like Setting RV  on fenced acreage,360
16577348,Sleek 3BR/2BA Family Home in South Florida,359
28229334,Beach and Downtown Hollywood,356
16964838,2 blocks to the beach*Pool*Ocean Access*Dock*Grill,355
45992429,Convenient Lauderdale Getaway Large Room W/ Desk,353
30646605,Waterfront coastal apartment #1,352
40863838,Sonder The Circ | Double Queen Room,350
25449022,Casa D Beach,346
32105046,Step from the beach # 4,346
21875737,Beautiful boutique-style beach side Ocean Cabana,346
5101983,Pompano Beach Private Ocean Cottage Unit 13,344
24279533,Private studio walk to the beach,343
34386831,Zen Garden Studio,341
22844056,Jr.Suite at Ocean Residences on the Beach,341
39507786,Stylish 2BR | Walk to Beach + Free Parking,338
47866176,Beautiful Studio close to shopping and the beach,337
17718863,Waterfront Luxury Condo Near Beach and Las Olas,337
12132145,Unit 6- FLL Retreat w/Shared Pool,337
13486489,Garden View 2 bed 1 bath & Pool!,337
32723151,Minute from the beach # 5,336
18395315,Fort Lauderdale beach condo!,336
50797170,Tranquil Private Studio - 10 mins to the beach,334
47990505,5-Star Beautiful Modern Studio,334
32291425,Minute from the beach # 3,333
21962440,Studio on Pompano Beach two blocks from the Ocean,331
552432614235943963,Wilton Cozy Studio 1king1Bath2 Guest NearOlasBeach,331
6704149,"BEST ROOM FOR 2, POOL HOUSE CLOSE TO AIR/SEA PORT!",331
6851230,PRIVATE BED/BATH FOR 2--POOL HOUSE!,331
30939540,Minute from the beach # 9,329
48207961,Beautiful Private Pool Suite (#4),327
27552571,Little Cozy Place,327
24358708,Stylish House with Open Layout and Large Backyard,327
29832621,01 Spacious 3 bdrm close to FLL & Port Everglades,327
17009282,Oceanfront Suite with panoramic ocean view!,325
31103190,Peaceful Poolside Suite - Butterfly,325
24498121,Beachy 1 Bedroom!!,322
12770367,Ocean Manor Studio on the Beach,322
27743276,FLL Hideaway Unit C,321
21709484,Tropical Paradise Central to Wilton Manors!,320
39765635,Stylish & Chic Walk to Wilton King Bed,319
31176921,"Totally Private Studio, NO shared Spaces-Renovated",319
40173813,Centrally Located Private Cottage,319
37399926,ON CANAL! Pool+Walk to BEACH! Boat Watch! 2b/2b,319
36226505,Green Leaf Apartment in Hollywood,318
34413259,Coastal Cabana,316
29078532,Two blocks from Beach - Walk to the water!,316
37802451,Spacious 2 Bedrm ☀ Block 2 Beach ☀ Family Friendly,315
32290881,Minute from the beach # 2,314
13998527,Pool Studio Apt Wilton Manors!,312
22753921,Atlantic Ocean/Intracoastal /CONDO-HOTEL- Studio,312
22450677,"Seagrape Villa Bella #2, Tropical Paradise",310
40891335,🏳️‍🌈 #4 Walk to Wilton Drive,310
11395762,"The TuckAway- Beach, Las Olas, Cruise & Air Ports",310
16536717,Tropical Paradise II,309
18394034,Ocean Side/Private/BBQ/WiFi/Parking/Beach/HH-04,309
16023976,Bungalow Blue Pool House in ❤️ of Fort Lauderdale!,308
20125835,"Stylish, Deco Stay Steps from Hollywood Beach",308
52740224,"Cozy classic suite with private entrance and private bathroom. Only 8 minutes away from the beach, walking distance to shopping plaza, restaurants and more.",308
23061219,One bedroom private apt two blocks to beach,307
37006975,"Zen Retreat with Lap Pool, Close to City Center",307
14710928,VERY BIG PRIVATE 1 BEDROOM APARTMENT FOR 2...POOL!,306
50070626,Tiny House Riverwalk /Ft Lauderdale Downtown,306
30939411,Minute from the beach # 11,305
31592876,GreenRoom in the ❤️ of Wilton Manors - Heated pool,305
46528338,Charming Waterfront Apartment – Las Olas Blvd Isle,304
53063403,Amazing 1 bedroom APT Near the Beach W/ Pool,304
27066188,The Retreat #2,304
29921853,Private Tropical Paradise+Pool❤Near Beach+Parking,303
19122926,WiltonPlex D,301
32105173,Minute from the beach # 6,301
35653242,5 min drive to Pompano Pier.,300
29260467,Waterfront Oasis | 3 BR in SE Ft. Lauderdale,299
6258979,HomeAtSun: Ocean Line Beach Access. Near Malls,298
27065954,The Retreat #1,298
256386,Country Living for Four,298
17680814,Large Bedroom w/ Private bath,297
13193428,The Hamptons Hideaway ~ By RRAccommodations,296
48642753,WALK to BEACH/Restaurants! Location! w/pool~1 King,296
19122820,WiltonPlex C,296
23882011,PRIVATE POOL! 5 min to Beach/Port/ConventionCenter,294
21460965,Minute from the beach # 8,294
36800525,•Sunhouse• Heated Pool Oasis 5 min to beach!,294
43744291,Popular Beach House~Heated Pool~Walk To The Beach!,294
10137616,Decadent Compound - Private Pool & Hottub,292
47475947,"Perfect location in Wilton, a block from the drive",292
13640946,House/private-Pool/8-min-Beach/Sun/Malls/gateway,291
33590663,Seahorse Ranch| 3BR Heated Pool | Home near Beach,290
11168043,"Clean Hollywood,Hard Rock Casino/BeachCozy studio",289
21934447,01 Cozy Portside Apartment - close to everything!,289
6102192,Ocean Manor right on the Beach,288
42036239,Magical Ocean View,288
16382965,"The Oasis @ Hollywood, FL (3 miles to the beach)",288
17443256,1BR Marylin Monroe-Inspired Oasis Near Beach,287
53204864,Boho Chic King Bed Studio,287
20148562,Wooden Little Ranch (Guest Unit),287
30264054,Waterfront loft downtown Ft Lauderdale,287
31102998,Peaceful Poolside Suite - Flamingo,286
21725972,Beautifully Renovated Beachside Ocean Cabana,285
17768227,"True king-size bed, Private patio & gas grill",285
39199501,Wilton 2 Bedroom  -A Block from Wilton Dr,284
18388547,"Beachwalk Villa, Heated Pool",284
22959620,Tropical Oasis Pool Cottage,284
867498206723772579,Trendy Studio in FLL - Private entrance & bathroom,284
51167673,Tropical Resort! 1mi BEACH+HTD Pool+SPA+Kayaks!,284
38851738,"\"Sunrise Sunset\" by Sawgrass Mall-Private Entrance",283
45397378,FLL Escape #3,283
